id,ASVM,GSVM,walking_nonwalking,normal_abnormal,ax,ay,az,gx,gy,gz
1,1.2496,0.649,0,1,0.5051116943359375,1.121002197265625,-0.2228851318359375,0.2467184364795684,0.5656746029853821,0.2009525448083877
2,1.2496,0.6488,0,1,0.4648590087890625,1.0853271484375,-0.270355224609375,0.1232886463403701,0.3600636422634125,0.1645601838827133
3,1.2492,0.6473,0,1,0.379669189453125,0.951080322265625,-0.2856597900390625,0.1497215777635574,0.0757387056946754,0.106611929833889
4,1.2476,0.6417,0,1,0.3700408935546875,0.8785552978515625,-0.30126953125,0.2146854102611541,0.234010100364685,0.0706193074584007
5,1.2427,0.6287,0,1,0.378143310546875,0.80230712890625,-0.2265472412109375,0.2291109412908554,0.633313000202179,-0.0048139300197362
6,1.2319,0.6072,0,1,0.3880157470703125,0.76068115234375,-0.1344757080078125,0.2117764353752136,0.9077988862991332,-0.0802780613303184
7,1.2128,0.5812,0,1,0.37286376953125,0.7841033935546875,-0.0667724609375,0.245893657207489,0.934403359889984,-0.0883692800998687
8,1.1837,0.5586,0,1,0.363555908203125,0.766998291015625,-0.015869140625,0.2559513449668884,0.6691668629646301,-0.0998520255088806
9,1.1449,0.5467,0,1,0.39288330078125,0.7193756103515625,-0.0048065185546875,0.1541205942630767,0.3581549525260925,-0.0835689306259155
10,1.0981,0.5482,0,1,0.4306640625,0.7057342529296875,-0.0040740966796875,-0.1367067098617553,0.2347613722085952,-0.0445930324494838
11,1.0461,0.5597,0,1,0.46417236328125,0.676116943359375,-0.0296173095703125,-0.5337326526641846,0.3311390578746795,-0.0379367284476757
12,0.9925,0.5753,0,1,0.498199462890625,0.6252593994140625,-0.0713653564453125,-0.7959892749786377,0.3519079685211181,-0.0450223349034786
13,0.9407,0.5907,0,1,0.519744873046875,0.645111083984375,-0.1004486083984375,-0.8300487399101257,0.0329832509160041,-0.0345481224358081
14,0.8939,0.6055,0,1,0.5253753662109375,0.747833251953125,-0.156707763671875,-0.7224870920181274,-0.3872411847114563,0.0049167280085384
15,0.8552,0.6213,0,1,0.5066070556640625,0.8697509765625,-0.2147979736328125,-0.7224870920181274,-0.3872411847114563,0.0049167280085384
16,0.8275,0.6398,0,1,0.5729217529296875,1.027313232421875,-0.2306060791015625,-0.3167198896408081,-0.4915084838867187,-0.0058067562058568
17,0.8141,0.6606,0,1,0.7024688720703125,1.170806884765625,-0.306396484375,-0.1541426926851272,0.0322562083601951,0.0850919932126998
18,0.8183,0.6798,0,1,0.8186187744140625,1.08502197265625,-0.2693939208984375,0.1753337383270263,0.4317095875740051,0.1714140921831131
19,0.8428,0.6919,0,1,0.762420654296875,0.847625732421875,-0.1229400634765625,0.5189754962921143,0.2482904940843582,0.2257697433233261
20,0.8871,0.6926,0,1,0.684173583984375,0.73748779296875,0.0167083740234375,0.5189754962921143,0.2482904940843582,0.2257697433233261
21,0.9461,0.6819,0,1,0.5976104736328125,0.7391357421875,0.1137847900390625,0.7124595046043396,-0.368019551038742,0.2314774394035339
22,1.0111,0.6637,0,1,0.5557708740234375,0.7312164306640625,0.1410675048828125,0.5342471599578857,-0.915495991706848,0.1422863006591797
23,1.0715,0.6452,0,1,0.4507293701171875,0.710723876953125,0.1271514892578125,-0.911924421787262,-0.5314268469810486,0.0438191182911396
24,1.1184,0.6349,0,1,0.4261627197265625,0.8004302978515625,0.0694732666015625,-1.269910216331482,-0.4881933629512787,0.0088728535920381
25,1.1455,0.6412,0,1,0.454742431640625,0.93963623046875,-0.0148468017578125,-1.3425735235214231,-0.4167016148567199,0.0467075854539871
26,1.1512,0.6706,0,1,0.4152069091796875,0.9798126220703124,-0.129058837890625,-1.3111157417297363,-0.0581860728561878,0.08683343231678
27,1.1381,0.7255,0,1,0.395599365234375,0.939300537109375,-0.2217864990234375,-1.0226280689239502,0.1063898205757141,0.0705298259854316
28,1.1121,0.8028,0,1,0.442901611328125,0.9294891357421876,-0.3016815185546875,-1.0226280689239502,0.1063898205757141,0.0705298259854316
29,1.0801,0.8932,0,1,0.5018463134765625,0.923431396484375,-0.30059814453125,-0.0081625888124108,-0.4684045016765594,0.0745282992720604
30,1.0484,0.9832,0,1,0.473052978515625,0.8909149169921875,-0.168060302734375,0.3495910167694092,-0.7893774509429932,0.0888736769556999
31,1.0219,1.0582,0,1,0.4190826416015625,0.8662567138671875,-0.011932373046875,0.3953390717506408,-0.8456268906593323,0.0284628011286258
32,1.003,1.1079,0,1,0.4373321533203125,0.868438720703125,0.0545806884765625,0.3953390717506408,-0.8456268906593323,0.0284628011286258
33,0.9918,1.1285,0,1,0.4844818115234375,0.87286376953125,0.1123504638671875,0.2199763059616089,-0.7120477557182312,-0.0611347258090972
34,0.9872,1.1211,0,1,0.5001983642578125,0.8424072265625,0.122467041015625,-0.0207082070410251,-0.5576485991477966,-0.1024459451436996
35,0.9873,1.0894,0,1,0.5095672607421875,0.7962646484375,0.0946197509765625,-0.256874680519104,-0.2741625905036926,-0.1284093707799911
36,0.99,1.037,0,1,0.52496337890625,0.81329345703125,0.09185791015625,-0.4709949493408203,-0.0261892601847648,-0.1526720970869064
37,0.9934,0.9677,0,1,0.5582275390625,0.810943603515625,0.0435333251953125,-0.6458213329315186,0.1985575705766677,-0.1541855782270431
