id,ASVM,GSVM,walking_nonwalking,normal_abnormal,ax,ay,az,gx,gy,gz
1,1.012,1.05,0,0,0.9710235595703125,0.505889892578125,-0.205657958984375,0.06585624814033508,1.0205475091934204,-0.22360166907310486
2,1.082,1.0652,0,0,1.181549072265625,0.54217529296875,-0.0843658447265625,0.08448878675699234,0.6856918334960938,-0.2747575342655182
3,1.1518,1.0893,0,0,1.2688140869140625,0.646087646484375,0.0810699462890625,-0.02713601291179657,0.2594608664512634,-0.14541764557361603
4,1.2118,1.1294,0,0,1.2979888916015625,0.6900482177734375,0.0838470458984375,-0.19342751801013947,-0.15286704897880554,0.05955706909298897
5,1.2548,1.1893,0,0,1.225860595703125,0.7339324951171875,-0.00439453125,-0.28195473551750183,-0.5003078579902649,0.29537251591682434
6,1.2766,1.2685,0,0,1.049652099609375,0.800933837890625,0.002227783203125,-0.1708873212337494,-0.9097166657447815,0.49447232484817505
7,1.2764,1.3629,0,0,0.8857269287109375,0.8340606689453125,0.0408477783203125,0.02251303195953369,-1.0914329290390015,0.7474297285079956
8,1.2559,1.4658,0,0,0.7239837646484375,0.8869476318359375,0.000640869140625,0.4015876352787018,-1.4432806968688965,0.8849726915359497
9,1.219,1.5697,0,0,0.5402984619140625,0.9684906005859375,-0.113739013671875,0.8701729774475098,-1.8641290664672852,0.7603721618652344
10,1.1711,1.668,0,0,0.5751953125,0.9560546875,-0.236419677734375,1.343347191810608,-2.0743677616119385,0.3141573965549469
11,1.1177,1.7565,0,0,0.626068115234375,0.78692626953125,-0.224945068359375,1.8174660205841064,-1.5957727432250977,0.5186125636100769
12,1.0638,1.8338,0,0,0.715850830078125,0.601470947265625,-0.1024322509765625,1.9553216695785522,-0.9209885001182556,0.30180779099464417
13,1.0136,1.9011,0,0,0.8542022705078125,0.4398040771484375,0.0052490234375,1.744884729385376,-0.5980842113494873,0.27211594581604004
14,0.9698,1.9609,0,0,0.8187103271484375,0.3498382568359375,0.057891845703125,1.212823748588562,-0.7354537844657898,0.27716103196144104
15,0.9337,2.0155,0,0,0.8077239990234375,0.4448394775390625,0.102569580078125,0.6623742580413818,-0.7630406618118286,0.233811154961586
16,0.9052,2.0657,0,0,0.8206329345703125,0.4561920166015625,0.1622161865234375,0.05825638025999069,-1.211390733718872,0.392679899930954
17,0.8832,2.1098,0,0,0.773712158203125,0.5137939453125,0.1138153076171875,-0.3695785701274872,-1.7927665710449219,0.40761598944664
18,0.8659,2.1436,0,0,0.733428955078125,0.541778564453125,0.0391082763671875,-0.6825615167617798,-2.063217878341675,0.41321927309036255
19,0.8516,2.1608,0,0,0.6401214599609375,0.5008087158203125,-0.0766143798828125,-0.8345475792884827,-2.2033438682556152,0.3995857536792755
20,0.8388,2.1544,0,0,0.665557861328125,0.4997711181640625,-0.1277008056640625,-0.8887833952903748,-2.344273567199707,0.477001428604126
21,0.8266,2.1185,0,0,0.6291351318359375,0.5831298828125,-0.1816864013671875,-0.9233797192573547,-2.372180938720703,0.3338565230369568
22,0.8151,2.0492,0,0,0.6928863525390625,0.6624298095703125,-0.211273193359375,-0.9610781073570251,-2.122750997543335,0.32221612334251404
23,0.8054,1.9462,0,0,0.6728363037109375,0.556884765625,-0.2490081787109375,-0.992694079875946,-1.778132438659668,0.4939468801021576
24,0.7994,1.8124,0,0,0.59405517578125,0.47161865234375,-0.287689208984375,-0.9892793893814087,-1.4584343433380127,0.5179957747459412
25,0.7996,1.6546,0,0,0.5260467529296875,0.48040771484375,-0.3237762451171875,-0.9555728435516357,-1.3032660484313965,0.49503156542778015
26,0.8086,1.4817,0,0,0.44512939453125,0.506927490234375,-0.3685302734375,-0.913565456867218,-0.9007969498634338,0.43558183312416077
27,0.8286,1.3044,0,0,0.3986968994140625,0.5151519775390625,-0.3946075439453125,-0.9320864081382751,-0.3047540485858917,0.3040784001350403
28,0.8609,1.1339,0,0,0.41766357421875,0.5350189208984375,-0.3425445556640625,-0.9415390491485596,-0.0008210525847971439,0.13147440552711487
29,0.9056,0.9801,0,0,0.463592529296875,0.5872650146484375,-0.380096435546875,-0.9475495219230652,-0.01398638915270567,1.2783173588104546e-05
30,0.9612,0.8515,0,0,0.421417236328125,0.510467529296875,-0.5467681884765625,-0.6329425573348999,0.1927068680524826,-0.15052905678749084
31,1.0251,0.7539,0,0,0.465484619140625,0.4589996337890625,-0.5702362060546875,-0.39274248480796814,0.5080280900001526,-0.39662909507751465
32,1.093,0.6903,0,0,0.6441192626953125,0.466644287109375,-0.6468963623046875,-0.4686947762966156,0.6546103358268738,-0.49261900782585144
33,1.1603,0.6612,0,0,0.9373626708984375,0.5485687255859375,-0.7632904052734375,-0.44249460101127625,0.25637000799179077,-0.37076103687286377
34,1.2221,0.6643,0,0,1.1652374267578125,0.533782958984375,-0.80401611328125,0.07729478925466537,-0.4684588313102722,-0.025947444140911102
35,1.2737,0.6952,0,0,1.216796875,0.4118194580078125,-0.7021026611328125,0.530200719833374,-0.6095102429389954,0.25355902314186096
36,1.3113,0.7479,0,0,1.0064239501953125,0.33294677734375,-0.6322784423828125,0.565081775188446,-0.3084595799446106,0.5083920955657959
37,1.3324,0.8154,0,0,0.816680908203125,0.2988739013671875,-0.645263671875,0.4124525487422943,-0.2297849953174591,0.5492069125175476
38,1.3357,0.8906,0,0,0.8831939697265625,0.3865966796875,-0.617828369140625,0.2661975920200348,-0.5552770495414734,0.41416603326797485
39,1.3216,0.9669,0,0,1.043701171875,0.619293212890625,-0.4429168701171875,-0.25634071230888367,-0.25663790106773376,0.25668957829475403
40,1.2915,1.0387,0,0,1.1585845947265625,0.9501495361328125,-0.2452545166015625,-0.9131068587303162,0.18003927171230316,0.134846493601799
41,1.2485,1.1028,0,0,1.14019775390625,1.1985931396484375,-0.042388916015625,-1.3420475721359253,0.9670201539993286,0.2427854835987091
42,1.1966,1.1583,0,0,0.911529541015625,1.216705322265625,0.01763916015625,-1.5295546054840088,1.4492981433868408,0.43856483697891235
43,1.1405,1.2065,0,0,0.4264984130859375,0.8983154296875,-0.0133209228515625,-0.9948842525482178,1.5530180931091309,0.7324012517929077
44,1.0848,1.251,0,0,0.27276611328125,0.5937652587890625,-0.0029754638671875,-0.2703225612640381,0.9466456174850464,0.7838713526725769
45,1.0336,1.296,0,0,0.2799072265625,0.5691986083984375,0.0252838134765625,0.05970247834920883,0.45016103982925415,0.5484558939933777
46,0.9899,1.3451,0,0,0.4095916748046875,0.7253265380859375,-0.0114593505859375,0.046540338546037674,0.15887700021266937,0.26503005623817444
47,0.9553,1.4,0,0,0.46661376953125,0.8680419921875,-0.182098388671875,0.16737595200538635,-0.5569775104522705,-0.10075829923152924
48,0.9299,1.4596,0,0,0.665313720703125,0.952301025390625,-0.283782958984375,0.5688168406486511,0.03301946818828583,-0.37965118885040283
49,0.913,1.5202,0,0,0.7197265625,0.7039794921875,-0.2381591796875,0.8127986192703247,1.4775362014770508,-0.34304043650627136
50,0.903,1.576,0,0,0.7588653564453125,0.61798095703125,-0.0771331787109375,0.8453091382980347,2.480761766433716,-0.32274875044822693
51,0.8983,1.6207,0,0,0.7424468994140625,0.6193695068359375,0.07843017578125,0.6970248818397522,2.460048198699951,-0.20938144624233246
52,0.897,1.6488,0,0,0.70538330078125,0.503021240234375,0.046630859375,0.646613359451294,1.8791162967681885,-0.2025885283946991
53,0.8978,1.6564,0,0,0.7258453369140625,0.4365386962890625,-0.0273590087890625,0.734770655632019,1.1677812337875366,-0.25879907608032227
54,0.8996,1.6417,0,0,0.7409515380859375,0.4338836669921875,-0.1127471923828125,0.7958622574806213,0.9592368006706238,-0.34747114777565
55,0.9019,1.605,0,0,0.7498626708984375,0.4656829833984375,-0.13958740234375,0.6814893484115601,1.0159375667572021,-0.2924931049346924
56,0.9042,1.5484,0,0,0.7180938720703125,0.492431640625,-0.1557159423828125,0.6170024871826172,1.2651959657669067,-0.2407020926475525
57,0.9067,1.4751,0,0,0.712646484375,0.5046234130859375,-0.0777435302734375,0.6947755813598633,1.484778642654419,-0.2814532518386841
58,0.9099,1.3892,0,0,0.7265625,0.47576904296875,0.0265350341796875,0.4954238533973694,1.4756639003753662,-0.37734487652778625
59,0.9142,1.295,0,0,0.845794677734375,0.4723052978515625,0.0798492431640625,0.1603180319070816,1.322426199913025,-0.4138118326663971
60,0.9207,1.1967,0,0,0.927337646484375,0.4432373046875,0.0273590087890625,-0.18644177913665771,0.8270265460014343,-0.43238577246665955
61,0.9303,1.0983,0,0,0.89599609375,0.41778564453125,-0.0980987548828125,-0.45466259121894836,0.5340306162834167,-0.41429996490478516
62,0.9439,1.0034,0,0,0.8010101318359375,0.457794189453125,-0.135009765625,-0.5036122798919678,0.5841806530952454,-0.3819580078125
63,0.9625,0.9149,0,0,0.699615478515625,0.510467529296875,-0.115203857421875,-0.5065313577651978,0.6898607015609741,-0.3924095928668976
64,0.9863,0.8356,0,0,0.7266693115234375,0.5452880859375,-0.1310577392578125,-0.5296151041984558,0.6036698818206787,-0.4683264493942261
